"X","imp_no","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","imp10","imp11","imp12","imp13","imp14","imp15","imp16","imp17","imp18","imp19","imp20","imp21","imp22","imp23","imp24","imp25","imp_no","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","imp10","imp11","imp12","imp13","imp14","imp15","imp16","imp17","imp18","imp19","imp20","imp21","imp22","imp23","imp24","imp25"
"hnsc.patient.clin_shared.age_at_initial_pathologic_diagnosis"," 0.0009278351"," 0.0011340206"," 0.0019587629"," 0.0006185567"," 0.0007216495"," 0.0011340206"," 0.0017525773"," 0.0010309278","-0.0005154639"," 0.0010309278"," 0.0008247423"," 0.0015463918"," 0.0023711340"," 0.0017525773"," 0.0020618557"," 0.0007216495"," 0.0009278351"," 0.0028865979","-0.0001030928"," 0.0006185567"," 0.0014432990"," 0.0008247423","-0.0007216495"," 0.0008247423"," 0.0016494845",0.000721649484536083,0.00247422680412371,0.000721649484536082,0.000412371134020619,0.00154639175257732,0.000618556701030928,0.000103092783505151,0.00216494845360825,0.000515463917525771,-0.00020618556701031,0.00237113402061856,0.000309278350515462,0.00412371134020619,0.00185567010309279,0.0011340206185567,0.00185567010309278,0.00134020618556701,0.00123711340206186,0.000103092783505155,0.000927835051546392,0.0022680412371134,0.00123711340206185,0.00082474226804124,0.0022680412371134,0.0011340206185567
"alcohol_consumption_per_day","-2.061856e-04"," 1.030928e-04"," 1.030928e-04"," 1.030928e-04"," 2.061856e-04"," 7.216495e-04"," 3.092784e-04"," 5.154639e-04"," 8.247423e-04","-3.092784e-04"," 4.123711e-04","-4.123711e-04","-2.061856e-04","-2.061856e-04"," 1.030928e-04","-1.030928e-04"," 1.030928e-04"," 0.000000e+00"," 1.110223e-18"," 2.061856e-04"," 2.061856e-04"," 4.123711e-04","-2.061856e-04"," 8.247423e-04","-1.030928e-04",0.000103092783505154,0.000103092783505155,0,0.000103092783505152,-0.00020618556701031,-0.000824742268041236,-0.000103092783505154,0.000412371134020619,0.000515463917525774,0.000412371134020617,-0.000103092783505155,-1.11022302462516e-18,-0.000103092783505155,1.11022302462516e-18,0.000206185567010312,-0.000618556701030927,0,0.00061855670103093,0.00020618556701031,-0.000309278350515464,0.000515463917525771,-0.000103092783505153,0,0.000721649484536083,-0.000412371134020619
"anatomic_organ_subdivision"," 2.061856e-04"," 4.123711e-04","-2.061856e-04"," 2.061856e-04","-4.123711e-04","-8.247423e-04"," 4.123711e-04"," 6.185567e-04","-6.185567e-04"," 2.061856e-04"," 4.123711e-04","-2.061856e-04","-8.247423e-04"," 4.123711e-04"," 0.000000e+00"," 0.000000e+00"," 0.000000e+00"," 2.061856e-04","-2.061856e-04"," 8.247423e-04","-1.110223e-18"," 6.185567e-04","-2.061856e-04"," 1.030928e-03"," 4.123711e-04",0.000206185567010311,-0.000412371134020617,-0.00020618556701031,1.11022302462516e-18,0.00020618556701031,0.000824742268041236,0.00103092783505155,0.000206185567010309,-0.000412371134020618,0.00103092783505155,0.000618556701030927,0.000412371134020619,0.000412371134020617,0.000412371134020619,0.00103092783505155,0,0.000412371134020617,0.000618556701030927,0.000412371134020619,0.000412371134020619,-0.000412371134020619,-0.00020618556701031,-0.000412371134020618,0.000412371134020618,0
"ethnicity"," 5.154639e-04"," 2.061856e-04"," 3.092784e-04"," 2.061856e-04","-4.123711e-04","-2.061856e-04"," 1.110223e-18"," 4.123711e-04"," 4.123711e-04"," 2.061856e-04","-5.154639e-04","-2.061856e-04"," 3.092784e-04","-4.123711e-04"," 0.000000e+00"," 2.061856e-04"," 4.123711e-04"," 3.092784e-04"," 1.030928e-04","-1.030928e-04"," 1.030928e-04","-3.092784e-04"," 1.030928e-04","-4.123711e-04"," 0.000000e+00",0.000721649484536084,-0.000103092783505154,-0.000515463917525775,-0.000309278350515464,0.00103092783505155,-0.000412371134020618,1.11022302462516e-18,0,-0.000309278350515463,-1.11022302462516e-18,-0.000618556701030929,0.000618556701030927,0.000309278350515464,-0.000618556701030929,-0.000206185567010309,0.000309278350515465,0.000412371134020618,2.22044604925031e-18,0.000515463917525772,0.0011340206185567,-0.000515463917525774,0.000515463917525771,0.000309278350515464,0.000103092783505155,-0.000927835051546393
"lymphovascular_invasion","-8.247423e-04","-6.185567e-04"," 2.061856e-04"," 1.110223e-18","-1.030928e-04","-3.092784e-04","-6.185567e-04","-4.123711e-04","-6.185567e-04"," 0.000000e+00"," 2.061856e-04"," 5.154639e-04"," 1.030928e-04","-5.154639e-04"," 2.061856e-04","-5.154639e-04"," 0.000000e+00"," 1.030928e-04"," 9.278351e-04"," 1.030928e-04","-5.154639e-04"," 4.123711e-04","-2.061856e-04"," 3.092784e-04"," 4.123711e-04",-0.000412371134020618,1.11022302462516e-18,0.000103092783505155,0,0.000721649484536082,-0.000103092783505154,-0.000309278350515464,-0.000206185567010309,0.00020618556701031,-0.000412371134020618,0.000309278350515464,-0.000103092783505155,-0.000206185567010309,0.000515463917525774,-0.00020618556701031,0.000515463917525772,-0.000206185567010309,0.000309278350515465,0.000206185567010309,-0.000927835051546392,-0.00020618556701031,-0.000309278350515464,0.000103092783505154,0.00123711340206186,-0.000412371134020619
"margin_status","-2.061856e-04","-4.123711e-04"," 0.000000e+00","-2.061856e-04"," 4.123711e-04","-5.154639e-04"," 3.092784e-04"," 0.000000e+00"," 1.110223e-18"," 2.061856e-04","-1.030928e-04"," 1.110223e-18"," 0.000000e+00"," 1.110223e-18","-1.030928e-04"," 0.000000e+00"," 2.061856e-04","-5.154639e-04"," 0.000000e+00"," 0.000000e+00"," 4.123711e-04"," 3.092784e-04"," 0.000000e+00"," 0.000000e+00","-8.247423e-04",-0.00020618556701031,0,-0.000618556701030927,0,0.00020618556701031,-0.000206185567010309,0.000412371134020618,-0.000309278350515464,-0.000515463917525772,0,0,-1.11022302462516e-18,0,-0.000515463917525774,-0.000206185567010309,0,0.000412371134020618,0,0.000103092783505154,-0.000103092783505155,-0.000206185567010307,0.00020618556701031,0.000103092783505155,0,-0.000103092783505156
"tobacco_smoking_pack_years_smoked"," 9.278351e-04","-3.092784e-04"," 3.092784e-04","-5.154639e-04","-4.123711e-04"," 1.030928e-04"," 0.000000e+00"," 2.061856e-04","-8.247423e-04"," 7.216495e-04"," 4.123711e-04"," 5.154639e-04","-2.061856e-04","-1.030928e-04","-2.061856e-04"," 4.123711e-04","-6.185567e-04","-7.216495e-04"," 0.000000e+00","-1.030928e-04"," 7.216495e-04"," 3.092784e-04","-4.123711e-04","-1.030928e-03","-1.110223e-18",0.000618556701030929,-0.00041237113402062,-0.000412371134020619,0.00020618556701031,-0.000309278350515464,-0.000309278350515463,0.000103092783505154,0.000412371134020619,0.00020618556701031,0.000309278350515464,-0.000206185567010311,0.000618556701030929,-0.000206185567010309,0.000309278350515464,0.000309278350515464,-0.00020618556701031,-0.000206185567010309,-0.000309278350515464,0.000412371134020618,-0.000618556701030928,0.000309278350515465,-0.000515463917525772,-0.000103092783505155,-0.000515463917525772,-0.000309278350515464
"perineural_invasion"," 5.154639e-04"," 9.278351e-04"," 1.134021e-03","-4.123711e-04"," 5.154639e-04"," 7.216495e-04","-1.110223e-18"," 1.030928e-04"," 1.134021e-03"," 9.278351e-04","-1.030928e-04"," 4.123711e-04"," 8.247423e-04"," 3.092784e-04"," 1.134021e-03"," 8.247423e-04","-3.092784e-04","-4.123711e-04"," 6.185567e-04"," 1.134021e-03"," 3.092784e-04"," 1.134021e-03"," 7.216495e-04"," 1.030928e-04"," 4.123711e-04",0.00144329896907216,0.000721649484536086,0.000412371134020617,0.000721649484536082,0.000824742268041236,0.000206185567010313,-0.000309278350515463,-3.33066907387547e-18,0.000206185567010306,-0.000103092783505153,0.000309278350515463,-0.00144329896907217,-0.000206185567010309,-0.000515463917525774,-0.000103092783505155,0.000103092783505152,0.00216494845360825,0.00123711340206185,0.000515463917525774,-0.00103092783505155,-0.000103092783505158,0.00123711340206186,0.000412371134020622,0.000515463917525774,-0.000309278350515464
"race"," 1.030928e-04"," 2.061856e-04"," 4.123711e-04"," 2.061856e-04","-1.030928e-04"," 1.110223e-18","-4.123711e-04","-3.092784e-04","-4.123711e-04"," 0.000000e+00"," 3.092784e-04"," 0.000000e+00"," 9.278351e-04","-2.061856e-04","-5.154639e-04"," 6.185567e-04"," 6.185567e-04"," 1.030928e-04"," 1.110223e-18","-7.216495e-04"," 5.154639e-04","-2.061856e-04","-3.092784e-04","-1.030928e-04"," 1.030928e-04",-1.11022302462516e-18,0.000103092783505153,0.000309278350515463,0,1.11022302462516e-18,-0.000103092783505154,-0.000412371134020619,-0.000412371134020618,-0.00020618556701031,-0.00020618556701031,-0.000927835051546393,-0.000412371134020617,-0.000206185567010309,0.000721649484536082,-0.000103092783505154,0.000412371134020618,-0.000927835051546394,-0.000721649484536082,1.11022302462516e-18,-0.000103092783505154,-0.000824742268041239,-0.00020618556701031,-0.000206185567010309,-0.000515463917525774,-1.11022302462516e-18
"hpv_status_inferred"," 7.216495e-04"," 0.000000e+00"," 0.000000e+00"," 1.030928e-03"," 2.061856e-04"," 1.030928e-04"," 4.123711e-04","-2.061856e-04","-2.061856e-04"," 2.061856e-04"," 0.000000e+00"," 2.061856e-04"," 1.030928e-04"," 0.000000e+00"," 0.000000e+00","-6.185567e-04"," 4.123711e-04","-5.154639e-04","-4.123711e-04","-7.216495e-04","-1.030928e-04"," 4.123711e-04"," 1.030928e-03","-1.110223e-18"," 0.000000e+00",0.00020618556701031,-0.00020618556701031,0.000412371134020618,-0.000412371134020617,-0.000206185567010309,0.000206185567010309,-0.000206185567010309,0,0.00020618556701031,0.000206185567010311,-0.000412371134020618,-0.000412371134020619,-0.000206185567010309,-1.11022302462516e-18,-0.000412371134020618,0.000103092783505155,0.000412371134020618,-0.000412371134020619,-0.00041237113402062,0.00020618556701031,-0.000309278350515465,0.000309278350515465,0.000824742268041236,-0.000103092783505154,0.000206185567010309
