"X","imp_rf","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","imp10","imp11","imp12","imp13","imp14","imp15","imp16","imp17","imp18","imp19","imp20","imp21","imp22","imp23","imp24","imp25","imp_rf","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","imp10","imp11","imp12","imp13","imp14","imp15","imp16","imp17","imp18","imp19","imp20","imp21","imp22","imp23","imp24","imp25"
"hnsc.patient.clin_shared.age_at_initial_pathologic_diagnosis"," 0.0022680412","-0.0001030928"," 0.0016494845"," 0.0003092784"," 0.0023711340"," 0.0013402062","-0.0001030928"," 0.0010309278"," 0.0017525773"," 0.0021649485"," 0.0028865979"," 0.0019587629"," 0.0025773196"," 0.0027835052"," 0.0014432990"," 0.0004123711"," 0.0008247423"," 0.0011340206"," 0.0024742268"," 0.0035051546"," 0.0025773196"," 0.0021649485"," 0.0005154639"," 0.0032989691"," 0.0046391753",0.00268041237113402,0.000309278350515463,0.00175257731958763,0.00350515463917526,0.000927835051546392,0.00257731958762886,0.00288659793814434,0.00309278350515464,0.000927835051546392,0.0043298969072165,0.00154639175257732,0.00412371134020619,0.0043298969072165,0.00195876288659794,-2.22044604925031e-18,0.00268041237113402,0.00319587628865979,0.00268041237113402,0.00319587628865979,0.000721649484536083,0.00134020618556701,0.00206185567010309,0.0031958762886598,0.000927835051546393,0.0034020618556701
"alcohol_consumption_per_day","-6.185567e-04","-7.216495e-04","-8.247423e-04"," 4.123711e-04","-6.185567e-04","-2.061856e-04"," 0.000000e+00"," 0.000000e+00","-2.220446e-18"," 4.123711e-04"," 3.092784e-04"," 7.216495e-04","-5.154639e-04","-2.061856e-04","-7.216495e-04"," 5.154639e-04","-3.092784e-04"," 1.030928e-04"," 2.061856e-04"," 0.000000e+00","-2.061856e-04"," 0.000000e+00","-1.030928e-04"," 2.061856e-04"," 5.154639e-04",1.11022302462516e-18,0.000618556701030928,0.000515463917525775,0.000824742268041237,-0.000103092783505154,0.000515463917525774,0.000309278350515464,0.00020618556701031,-0.000824742268041235,-0.000309278350515464,0.000309278350515464,0.000309278350515465,-0.000515463917525771,-0.000309278350515464,0.000412371134020619,-0.000103092783505156,0.00041237113402062,1.11022302462516e-18,0.000412371134020619,-0.000515463917525772,0.00041237113402062,-0.000206185567010309,-0.000103092783505154,0.000927835051546394,-0.000412371134020618
"anatomic_organ_subdivision","-2.061856e-04"," 1.110223e-18"," 1.110223e-18"," 4.123711e-04","-2.061856e-04"," 2.061856e-04"," 8.247423e-04","-2.061856e-04"," 4.123711e-04"," 6.185567e-04","-1.030928e-03"," 1.110223e-18"," 6.185567e-04","-4.123711e-04"," 0.000000e+00"," 8.247423e-04"," 1.030928e-03"," 1.443299e-03"," 6.185567e-04"," 6.185567e-04","-2.220446e-18"," 4.123711e-04","-4.123711e-04"," 1.237113e-03"," 2.061856e-04",0.000412371134020618,0.000206185567010311,0.0020618556701031,0.000618556701030929,0.000618556701030927,0.000618556701030928,0.000412371134020619,0.000618556701030927,0.000824742268041236,-0.000824742268041236,0.000206185567010309,0.000618556701030928,-0.00103092783505154,-0.000412371134020619,0.000618556701030929,0.000206185567010309,-0.000618556701030928,-0.000412371134020619,0.000412371134020619,-0.000206185567010307,0.0022680412371134,0.000618556701030928,0.000618556701030929,0.000412371134020619,0.00041237113402062
"ethnicity"," 0.000000e+00"," 0.000000e+00"," 3.092784e-04","-2.061856e-04","-4.123711e-04"," 3.092784e-04"," 4.123711e-04"," 3.092784e-04","-3.092784e-04"," 3.092784e-04"," 1.110223e-18"," 6.185567e-04","-3.092784e-04"," 4.123711e-04","-1.030928e-04","-3.092784e-04"," 4.123711e-04"," 5.154639e-04"," 4.123711e-04","-3.092784e-04","-3.092784e-04","-1.030928e-04"," 5.154639e-04"," 0.000000e+00","-3.092784e-04",-0.000103092783505154,-0.000309278350515464,0.00020618556701031,0.000103092783505154,0.000103092783505154,-1.11022302462516e-18,-0.000309278350515464,-0.000103092783505153,-0.000618556701030929,0.000721649484536082,-0.000103092783505155,0,1.11022302462516e-18,0.000206185567010309,-0.000515463917525774,-0.00020618556701031,0.000309278350515464,0.000206185567010309,0.000103092783505156,-0.000309278350515464,0.000618556701030927,0.000515463917525774,-0.000206185567010311,-0.000515463917525772,-0.000515463917525774
"lymphovascular_invasion","-2.061856e-04"," 1.030928e-04"," 0.000000e+00","-1.030928e-04"," 4.123711e-04"," 6.185567e-04","-2.061856e-04","-4.123711e-04","-7.216495e-04","-8.247423e-04"," 5.154639e-04","-3.092784e-04"," 1.030928e-03","-1.030928e-04"," 4.123711e-04","-3.092784e-04"," 1.110223e-18","-1.237113e-03","-6.185567e-04","-6.185567e-04","-3.092784e-04","-6.185567e-04"," 1.030928e-04","-3.092784e-04","-1.110223e-18",-0.00020618556701031,0.000309278350515465,0.00020618556701031,0.000309278350515464,-0.000412371134020619,-0.000206185567010309,0.000103092783505154,0.000309278350515463,-0.000309278350515464,0.000412371134020617,0.000721649484536083,0,0,-0.000721649484536083,-0.00020618556701031,0.000309278350515464,-0.000618556701030929,-0.000515463917525775,-0.000824742268041239,0.00020618556701031,0.000618556701030928,0.000206185567010311,0.00020618556701031,1.11022302462516e-18,-0.000206185567010311
"margin_status"," 1.030928e-04"," 1.030928e-04","-3.092784e-04","-1.030928e-04","-2.061856e-04"," 1.030928e-04"," 1.030928e-04"," 3.092784e-04","-8.247423e-04"," 1.110223e-18","-2.061856e-04"," 3.092784e-04"," 0.000000e+00"," 3.092784e-04","-3.092784e-04","-7.216495e-04","-1.030928e-04"," 2.061856e-04"," 6.185567e-04"," 6.185567e-04","-2.061856e-04","-2.061856e-04"," 1.030928e-04","-1.030928e-04","-4.123711e-04",0.00041237113402062,0.000927835051546392,0.00103092783505155,0,-0.000206185567010309,0.00020618556701031,1.11022302462516e-18,-0.000103092783505154,-0.000721649484536083,0.000103092783505153,-0.000515463917525772,0.00020618556701031,0.000515463917525775,-0.000824742268041237,0.000103092783505154,0.000618556701030928,0.000103092783505155,0.000206185567010309,-0.000309278350515464,0.000515463917525774,1.11022302462516e-18,0,0,0.000412371134020618,0
"tobacco_smoking_pack_years_smoked"," 0.000000e+00","-2.061856e-04","-1.030928e-04"," 4.123711e-04","-2.061856e-04","-6.185567e-04"," 7.216495e-04","-4.123711e-04","-4.123711e-04"," 1.030928e-04"," 2.061856e-04","-7.216495e-04"," 8.247423e-04","-1.030928e-04","-2.061856e-04","-4.123711e-04"," 3.092784e-04"," 2.061856e-04","-4.123711e-04"," 1.340206e-03","-4.123711e-04"," 3.092784e-04","-2.220446e-18","-3.092784e-04"," 1.030928e-04",-0.000309278350515465,-0.000103092783505154,0.000721649484536081,0.00103092783505155,0.000412371134020617,-0.000309278350515462,-0.00020618556701031,-2.22044604925031e-18,0.000618556701030925,-0.000206185567010309,-0.000103092783505156,0.00020618556701031,0.000103092783505155,0.000206185567010307,0.000412371134020618,-0.000103092783505154,0.000309278350515467,-2.22044604925031e-18,-0.000309278350515461,-0.000721649484536081,-0.000618556701030927,-0.000824742268041237,-0.000103092783505153,-0.000412371134020618,-2.22044604925031e-18
"perineural_invasion","-1.030928e-04"," 2.371134e-03"," 2.061856e-03"," 5.154639e-04"," 1.649485e-03"," 1.237113e-03"," 1.134021e-03"," 8.247423e-04","-7.216495e-04","-1.110223e-18"," 1.237113e-03","-5.154639e-04","-6.185567e-04","-9.278351e-04"," 2.268041e-03"," 1.030928e-03"," 8.247423e-04"," 2.061856e-04"," 8.247423e-04"," 2.061856e-03"," 1.134021e-03","-6.185567e-04","-4.123711e-04","-1.030928e-04"," 5.154639e-04",-0.000721649484536084,-0.000412371134020618,4.44089209850063e-18,-0.000721649484536084,0.00154639175257732,0.00391752577319588,0.00216494845360825,0.00164948453608248,0.000412371134020619,0.000206185567010311,0.000824742268041239,0.00206185567010309,0.00020618556701031,-0.000927835051546391,-0.000103092783505155,-0.00020618556701031,0.00226804123711341,0.000206185567010311,0.0020618556701031,0.0011340206185567,0.000103092783505152,0.000309278350515465,-0.000103092783505155,0.00144329896907216,0
"race"," 2.061856e-04"," 2.061856e-04","-4.123711e-04"," 1.030928e-04"," 3.092784e-04","-2.061856e-04"," 3.092784e-04","-2.061856e-04","-6.185567e-04","-4.123711e-04","-4.123711e-04","-3.092784e-04"," 2.061856e-04","-1.030928e-04","-1.030928e-04","-2.061856e-04","-1.030928e-04","-2.061856e-04","-4.123711e-04"," 5.154639e-04","-1.110223e-18","-1.030928e-04","-2.061856e-04","-6.185567e-04"," 3.092784e-04",-0.000721649484536083,0.000309278350515465,0,-0.000515463917525772,-3.33066907387547e-18,0.000412371134020618,0.00041237113402062,0.000103092783505153,-0.000309278350515464,-0.000721649484536083,-0.000309278350515464,-0.000412371134020617,0.000515463917525774,-0.000618556701030928,-0.000309278350515463,0,-0.00020618556701031,-0.000309278350515464,0.000412371134020618,0,0.00020618556701031,-0.000103092783505156,-0.00041237113402062,0.000309278350515466,0.000412371134020618
"hpv_status_inferred"," 2.061856e-04","-1.110223e-18","-2.061856e-04"," 1.030928e-04"," 8.247423e-04"," 1.134021e-03"," 3.092784e-04"," 5.154639e-04"," 1.030928e-04","-4.123711e-04"," 6.185567e-04","-2.061856e-04"," 2.061856e-04","-1.110223e-18"," 2.061856e-04"," 2.061856e-04","-2.061856e-04"," 1.030928e-04","-4.123711e-04"," 1.340206e-03"," 1.340206e-03"," 1.030928e-04"," 4.123711e-04"," 0.000000e+00","-4.123711e-04",0.000103092783505155,0.000824742268041237,0.000206185567010311,0.000412371134020617,0.000721649484536082,0.00123711340206185,0.000618556701030927,0.00020618556701031,0.00020618556701031,0.00020618556701031,1.11022302462516e-18,0.00103092783505154,0.000824742268041236,0.00144329896907217,1.11022302462516e-18,0.000824742268041236,0.000412371134020619,0.000309278350515464,0.000412371134020618,-0.000309278350515463,0.000824742268041236,0.000309278350515464,0.000412371134020618,-0.000618556701030927,0.000309278350515462
